Product Name,Technology,2G bands,Untitled,3G bands,Untitled,4G bands,Untitled,Untitled,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Untitled,Type,Size,Resolution,Protection,Untitled,OS,Chipset,CPU,GPU,Card slot,Internal,Triple,Features,Video,Dual,Features,Video,Loudspeaker,3.5mm jack,Untitled,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Untitled,Untitled,Charging,Talk time,Music play,Colors,Models,SAR,SAR EU,Price,Performance,Display,Camera,Loudspeaker,Audio quality,Battery life
Karbonn A21,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Removable Li-Ion 1800 mAh battery,HSDPA 2100,Removable Li-Ion 1800 mAh battery,,Removable Li-Ion 1800 mAh battery,Removable Li-Ion 1800 mAh battery,HSPA 7.2/0.384 Mbps,2012,Discontinued,-,-,,Dual SIM (Mini-SIM),Removable Li-Ion 1800 mAh battery,"TFT capacitive touchscreen, 256K colors","4.5 inches, 57.6 cm","480 x 800 pixels, 5:3 ratio (~207 ppi density)",,Removable Li-Ion 1800 mAh battery,Android 4.0 (Ice Cream Sandwich),,Dual-core 1.2 GHz,,"microSD, up to 32 GB (dedicated slot)",4GB 512MB RAM,,LED flash,_,,LED flash,_,Yes,Yes,Removable Li-Ion 1800 mAh battery,Wi-Fi 802.11 b/g/n,"2.1, A2DP","Yes, with A-GPS",,No,microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 1800 mAh battery,Removable Li-Ion 1800 mAh battery,,Up to 5 h,,Pearl White,,,0.44 W/kg (head),About 130 EUR,,,,Yes,,
Karbonn A11,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Li-Ion 1500 mAh battery,HSDPA 2100,Li-Ion 1500 mAh battery,,Li-Ion 1500 mAh battery,Li-Ion 1500 mAh battery,HSPA 7.2/0.384 Mbps,2012,Discontinued,-,-,,Dual SIM (Mini-SIM),Li-Ion 1500 mAh battery,"TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Li-Ion 1500 mAh battery,Android 4.0.4 (Ice Cream Sandwich),,1.0 GHz,,"microSD, up to 32 GB (dedicated slot)",4GB 512MB RAM,,LED flash,_,,LED flash,_,Yes,Yes,Li-Ion 1500 mAh battery,Wi-Fi 802.11 b/g/n,"4.0, A2DP","Yes, with A-GPS",,No,microUSB 2.0,"Accelerometer, proximity",Li-Ion 1500 mAh battery,Li-Ion 1500 mAh battery,,Up to 5 h,,Black/White,,,1.12 W/kg (head),About 100 EUR,,,,Yes,,
Karbonn K36+ Jumbo Mini,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Li-Ion 1800 mAh battery,,Li-Ion 1800 mAh battery,,Li-Ion 1800 mAh battery,Li-Ion 1800 mAh battery,,2012,Discontinued,111 x 47 x 16.5 mm (4.37 x 1.85 x 0.65 in),92 g (3.25 oz),,Dual SIM (Mini-SIM),Li-Ion 1800 mAh battery,"TFT, 65K colors","1.8 inches, 10.2 cm",128 x 160 pixels (~114 ppi density),,Li-Ion 1800 mAh battery,,,,,"microSD, up to 8 GB (dedicated slot)",,,,Yes,,,Yes,Yes,No,Li-Ion 1800 mAh battery,No,2.0,No,,"FM radio, recording",microUSB,_,Li-Ion 1800 mAh battery,Li-Ion 1800 mAh battery,,Up to 8 h,,Black,,,,About 20 EUR,,,,Yes,,
Karbonn K101+ Media Champ,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Li-Ion 800 mAh battery,,Li-Ion 800 mAh battery,,Li-Ion 800 mAh battery,Li-Ion 800 mAh battery,,2012,Discontinued,104 x 44.7 x 15.3 mm (4.09 x 1.76 x 0.60 in),69 g (2.43 oz),,Dual SIM (Mini-SIM),Li-Ion 800 mAh battery,"TFT, 65K colors","1.8 inches, 10.2 cm",128 x 160 pixels (~114 ppi density),,Li-Ion 800 mAh battery,,,,,"microSD, up to 8 GB (dedicated slot)",,,,Yes,,,Yes,Yes,No,Li-Ion 800 mAh battery,No,2.0,No,,"FM radio, recording",microUSB,_,Li-Ion 800 mAh battery,Li-Ion 800 mAh battery,,Up to 5 h,,"Black, Black/Red",,,0.95 W/kg (head),About 10 EUR,,,,Yes,,
Karbonn K440,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Li-Ion 2100 mAh battery,,Li-Ion 2100 mAh battery,,Li-Ion 2100 mAh battery,Li-Ion 2100 mAh battery,,2012,Discontinued,119.5 x 54 x 13.5 mm (4.70 x 2.13 x 0.53 in),-,,Dual SIM (Mini-SIM),Li-Ion 2100 mAh battery,"TFT, 256K colors","2.6 inches, 20.9 cm","240 x 320 pixels, 4:3 ratio (~154 ppi density)",,Li-Ion 2100 mAh battery,,,,,"microSD, up to 16 GB (dedicated slot)",,,,Yes,,,Yes,Yes,No,Li-Ion 2100 mAh battery,No,2.0,No,,"FM radio, recording",microUSB,_,Li-Ion 2100 mAh battery,Li-Ion 2100 mAh battery,,Up to 12 h,,"Black/White, Black/Red",,,,About 30 EUR,,,,Yes,,
Karbonn A9+,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Removable Li-Ion 1420 mAh battery,HSDPA 2100,Removable Li-Ion 1420 mAh battery,,Removable Li-Ion 1420 mAh battery,Removable Li-Ion 1420 mAh battery,HSPA 7.2/0.384 Mbps,2012,Discontinued,120 x 60.5 x 11.3 mm (4.72 x 2.38 x 0.44 in),-,,Dual SIM (Mini-SIM),Removable Li-Ion 1420 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Removable Li-Ion 1420 mAh battery,Android 4.0 (Ice Cream Sandwich),,Dual-core 1.2 GHz,,"microSD, up to 32 GB (dedicated slot)",4GB 512MB RAM,,LED flash,_,,LED flash,_,Yes,Yes,Removable Li-Ion 1420 mAh battery,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",2.0,"Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 1420 mAh battery,Removable Li-Ion 1420 mAh battery,,Up to 4 h,,Pearl White,,0.66 W/kg (head),,About 120 EUR,,,,Yes,,
Karbonn K11+,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Removable Li-Ion 1000 mAh battery,,Removable Li-Ion 1000 mAh battery,,Removable Li-Ion 1000 mAh battery,Removable Li-Ion 1000 mAh battery,,2012,Discontinued,-,61 g (2.15 oz),,Dual SIM (Mini-SIM),Removable Li-Ion 1000 mAh battery,"TFT, 65K colors","2.4 inches, 17.8 cm","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,Removable Li-Ion 1000 mAh battery,,,,,"microSD, up to 8 GB (dedicated slot)",,,,Yes,,,Yes,Yes,No,Removable Li-Ion 1000 mAh battery,No,2.0,No,,FM radio,microUSB,_,Removable Li-Ion 1000 mAh battery,Removable Li-Ion 1000 mAh battery,,Up to 3 h,,"Black/Red, White/Black",,,,About 30 EUR,,,,Yes,,
Karbonn A15,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Removable Li-Ion 1420 mAh battery,HSDPA 2100,Removable Li-Ion 1420 mAh battery,,Removable Li-Ion 1420 mAh battery,Removable Li-Ion 1420 mAh battery,HSPA 7.2/0.384 Mbps,2012,Discontinued,-,-,,Dual SIM (Mini-SIM),Removable Li-Ion 1420 mAh battery,TFT touchscreen,"4.0 inches, 45.5 cm","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Removable Li-Ion 1420 mAh battery,Android 4.0.4 (Ice Cream Sandwich),,1.0 GHz,,"microSD, up to 32 GB (dedicated slot)","4GB (2.5GB user available), 512MB RAM",,,Yes,,,Yes,Yes,Yes,Removable Li-Ion 1420 mAh battery,Wi-Fi 802.11 b/g/n,2.0,"Yes, with A-GPS",,FM radio,microUSB 2.0,Accelerometer,Removable Li-Ion 1420 mAh battery,Removable Li-Ion 1420 mAh battery,,,,Black,,0.59 W/kg (head),,About 80 EUR,,,,Yes,,
Karbonn A30,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Li-Ion 2500 mAh battery,HSDPA 2100,Li-Ion 2500 mAh battery,,Li-Ion 2500 mAh battery,Li-Ion 2500 mAh battery,HSPA 7.2/0.384 Mbps,2012,Discontinued,166 x 91 x 10.7 mm (6.54 x 3.58 x 0.42 in),280 g (9.88 oz),,Dual SIM (Mini-SIM),Li-Ion 2500 mAh battery,"TFT capacitive touchscreen, 256K colors","5.9 inches, 99.1 cm","480 x 800 pixels, 5:3 ratio (~158 ppi density)",,Li-Ion 2500 mAh battery,Android 4.0.4 (Ice Cream Sandwich),,Dual-core 1.0 GHz,,"microSD, up to 32 GB (dedicated slot)",4GB 512MB RAM,,LED flash,_,,LED flash,_,Yes,Yes,Li-Ion 2500 mAh battery,"Wi-Fi 802.11 b/g/n, hotspot",2.0,"Yes, with A-GPS",,FM radio,microUSB 2.0,Accelerometer,Li-Ion 2500 mAh battery,Li-Ion 2500 mAh battery,,Up to 10 h,,Black/White,,,0.46 W/kg (head),About 160 EUR,,,,Yes,,
Kyocera DuraForce Pro 2,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Non-removable Li-Ion 3240 mAh battery,HSDPA 850 / 900 / 1900 / 2100,Non-removable Li-Ion 3240 mAh battery,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 13(700), 66(1700/2100)",Non-removable Li-Ion 3240 mAh battery,Non-removable Li-Ion 3240 mAh battery,"HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps","2018, November","Available. Released 2018, November",150.2 x 73.4 x 13.5 mm (5.91 x 2.89 x 0.53 in),243 g (8.25 oz),,Nano-SIM,Non-removable Li-Ion 3240 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Sapphire crystal glass,Non-removable Li-Ion 3240 mAh battery,Android 8.0 (Oreo),Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core 2.2 GHz Cortex-A53,Adreno 508,"microSD, up to 1 TB",64GB 4GB RAM,,"LED flash, HDR, panorama",_,,"LED flash, HDR, panorama",_,"Yes, with stereo speakers",Yes,Non-removable Li-Ion 3240 mAh battery,"Wi-Fi 802.11 a/b/g/n/ac/i/r/k, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",Yes,No,"3.1, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Non-removable Li-Ion 3240 mAh battery,Non-removable Li-Ion 3240 mAh battery,Qi wireless charging,Up to 21 h (3G),,Black,,,,About 444 USD,,,,"Yes, with stereo speakers",,
Kyocera DuraForce Pro,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Non-removable Li-Ion 3240 mAh battery,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Non-removable Li-Ion 3240 mAh battery,"LTE band 2(1900), 4(1700/2100), 5(850), 12(700), 25(1900), 26(850), 41(2500)",Non-removable Li-Ion 3240 mAh battery,Non-removable Li-Ion 3240 mAh battery,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2016, August","Available. Released 2016, October",148.4 x 73.4 x 12.9 mm (5.84 x 2.89 x 0.51 in),230 g (8.11 oz),,Nano-SIM,Non-removable Li-Ion 3240 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Yes,Non-removable Li-Ion 3240 mAh battery,Android 6.0 (Marshmallow),Qualcomm MSM8952 Snapdragon 617 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),Adreno 405,"microSD, up to 256 GB",32GB 3GB RAM,,"LED flash, HDR, panorama",_,,"LED flash, HDR, panorama",_,"Yes, with stereo speakers",Yes,Non-removable Li-Ion 3240 mAh battery,"Wi-Fi 802.11 a/b/g/n/ac/i/r/k, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",Yes,No,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",Non-removable Li-Ion 3240 mAh battery,Non-removable Li-Ion 3240 mAh battery,Fast battery charging 18W (Quick Charge 2.0),Up to 19 h (3G),,Black,E6810,,,,,,,"Yes, with stereo speakers",,
Kyocera DuraForce XD,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Removable Li-Ion 3700 mAh battery,"HSDPA 850 / 900 / 1900 / 2100 - AT&T, T-Mobile",Removable Li-Ion 3700 mAh battery,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 17(700), 20(800), 29(700) - AT&T",Removable Li-Ion 3700 mAh battery,Removable Li-Ion 3700 mAh battery,"HSPA, LTE","2015, October","Available. Released 2015, November",166.8 x 86.4 x 13.9 mm (6.57 x 3.40 x 0.55 in),307 g (10.83 oz),,Nano-SIM,Removable Li-Ion 3700 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm","720 x 1280 pixels, 16:9 ratio (~258 ppi density)",Yes,Removable Li-Ion 3700 mAh battery,Android 5.1 (Lollipop),Qualcomm MSM8928 Snapdragon 400 (28 nm),Quad-core 1.6 GHz Cortex-A7,Adreno 305,"microSD, up to 64 GB",16GB 2GB RAM,,"LED flash, HDR, panorama",_,,"LED flash, HDR, panorama",_,Yes,Yes,Removable Li-Ion 3700 mAh battery,"Wi-Fi 802.11 a/b/g/n/ac//r/k, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, EDR, LE","Yes, with A-GPS",Yes,No,microUSB 2.0,"Accelerometer, gyro, proximity, compass, barometer",Removable Li-Ion 3700 mAh battery,Removable Li-Ion 3700 mAh battery,Battery charging 10W,Up to 23 h (3G),,Black,,,,,,,,Yes,,
Kyocera DuraForce,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Non-removable Li-Ion 3100 mAh battery,HSDPA 850 / 900 / 1900 / 2100,Non-removable Li-Ion 3100 mAh battery,"LTE band 1(2100), 2(1900), 4(1700/2100), 5(850), 7(2600), 17(700)",Non-removable Li-Ion 3100 mAh battery,Non-removable Li-Ion 3100 mAh battery,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2014, November","Available. Released 2014, November",136.9 x 70.6 x 14 mm (5.39 x 2.78 x 0.55 in),200 g (7.05 oz),,Nano-SIM,Non-removable Li-Ion 3100 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm","720 x 1280 pixels, 16:9 ratio (~326 ppi density)",Yes,Non-removable Li-Ion 3100 mAh battery,Android 4.4.2 (KitKat),Qualcomm MSM8928 Snapdragon 400 (28 nm),Quad-core 1.4 GHz Cortex-A7,Adreno 305,"microSD, up to 32 GB (dedicated slot)",16GB 2GB RAM,,"LED flash, HDR, panorama",_,,"LED flash, HDR, panorama",_,"Yes, with stereo speakers",Yes,Non-removable Li-Ion 3100 mAh battery,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS",Yes,No,microUSB 2.0,"Accelerometer, proximity, compass, barometer",Non-removable Li-Ion 3100 mAh battery,Non-removable Li-Ion 3100 mAh battery,,Up to 17 h,,Black,,,,About 320 EUR,,,,"Yes, with stereo speakers",,
Kyocera Hydro Life,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Removable Li-Ion 2000 mAh battery,HSDPA 850 / 1700 / 1900 / 2100,Removable Li-Ion 2000 mAh battery,,Removable Li-Ion 2000 mAh battery,Removable Li-Ion 2000 mAh battery,HSPA 21.1/5.76 Mbps,"2014, August","Available. Released 2014, August",131.8 x 65.4 x 10.9 mm (5.19 x 2.57 x 0.43 in),136 g (4.80 oz),,Micro-SIM,Removable Li-Ion 2000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Yes,Removable Li-Ion 2000 mAh battery,Android 4.3 (Jelly Bean),Qualcomm MSM8212 Snapdragon 200 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 302,"microSD, up to 32 GB (dedicated slot)",8GB 1.5GB RAM,,"LED flash, HDR, panorama",_,,"LED flash, HDR, panorama",_,Yes,Yes,Removable Li-Ion 2000 mAh battery,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS",,No,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 2000 mAh battery,Removable Li-Ion 2000 mAh battery,,Up to 13 h 30 min,,Black,,,,,,,,Yes,,
Kyocera Brigadier,GSM / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,Non-removable Li-Ion 3100 mAh battery,CDMA2000 1xEV-DO,Non-removable Li-Ion 3100 mAh battery,"LTE band 4(1700/2100), 13(700)",Non-removable Li-Ion 3100 mAh battery,Non-removable Li-Ion 3100 mAh battery,"HSPA, LTE, EV-DO Rev.A 3.1 Mbps","2014, July","Available. Released 2014, July",136.4 x 68.3 x 13.2 mm (5.37 x 2.69 x 0.52 in),187.1 g (6.60 oz),,Nano-SIM,Non-removable Li-Ion 3100 mAh battery,"Capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm","720 x 1280 pixels, 16:9 ratio (~326 ppi density)",Sapphire crystal glass,Non-removable Li-Ion 3100 mAh battery,Android 4.4.2 (KitKat),Qualcomm Snapdragon 400 (28 nm),Quad-core 1.4 GHz Cortex-A7,Adreno 305,"microSD, up to 32 GB (dedicated slot)",16GB 2GB RAM,,"LED flash, panorama",_,,"LED flash, panorama",_,"Yes, dual speakers",Yes,Non-removable Li-Ion 3100 mAh battery,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS",Yes,No,microUSB 2.0,"Accelerometer, proximity, compass, barometer",Non-removable Li-Ion 3100 mAh battery,Non-removable Li-Ion 3100 mAh battery,Qi wireless charging,Up to 26 h,,Black,E6782,0.79 W/kg (head)     0.72 W/kg (body),,About 300 EUR,,,,"Yes, dual speakers",,
Kyocera Hydro Elite,GSM / CDMA / EVDO / LTE,CDMA 800 / 1900,Removable Li-Ion 2100 mAh battery,CDMA2000 1xEV-DO,Removable Li-Ion 2100 mAh battery,LTE (unspecified),Removable Li-Ion 2100 mAh battery,Removable Li-Ion 2100 mAh battery,"HSPA, LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps","2013, Q3. Released 2013, Q3",Discontinued,122.4 x 60.4 x 10.8 mm (4.82 x 2.38 x 0.43 in),128 g (4.52 oz),,Yes,Removable Li-Ion 2100 mAh battery,"Capacitive touchscreen, 16M colors","4.3 inches, 51.0 cm","720 x 1280 pixels, 16:9 ratio (~342 ppi density)",Yes,Removable Li-Ion 2100 mAh battery,Android 4.1.2 (Jelly Bean),Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,Adreno 225,"microSD, up to 32 GB (dedicated slot)",16GB 1.5GB RAM,,"LED flash, HDR, panorama",_,,"LED flash, HDR, panorama",_,Yes,Yes,Removable Li-Ion 2100 mAh battery,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA","4.0, A2DP, EDR, LE","Yes, with A-GPS",Yes,No,microUSB 2.0 (MHL TV-out),"Accelerometer, proximity, compass",Removable Li-Ion 2100 mAh battery,Removable Li-Ion 2100 mAh battery,,Up to 13 h,,Black,,,,,,,,Yes,,
Kyocera Hydro Xtrm,CDMA / EVDO / LTE,CDMA 800 / 1900,Removable Li-Ion 2000 mAh battery,CDMA2000 1xEV-DO,Removable Li-Ion 2000 mAh battery,"LTE band 2(1900), 4(1700/2100), 5(850), 12(700)",Removable Li-Ion 2000 mAh battery,Removable Li-Ion 2000 mAh battery,"LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps","2013, May. Released 2013, June",Discontinued,124 x 64 x 10.7 mm (4.88 x 2.52 x 0.42 in),139 g (4.90 oz),,"Yes, preinstalled",Removable Li-Ion 2000 mAh battery,IPS LCD capacitive touchscreen,"4.0 inches, 45.5 cm","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Yes,Removable Li-Ion 2000 mAh battery,Android 4.1.2 (Jelly Bean),Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.2 GHz Krait,Adreno 225,"microSD, up to 32 GB (dedicated slot)",4GB 1GB RAM,,LED flash,_,,LED flash,_,Yes,Yes,Removable Li-Ion 2000 mAh battery,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS",,No,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 2000 mAh battery,Removable Li-Ion 2000 mAh battery,,Up to 12 h 30 min,,Black,,,,,,,,Yes,,
Kyocera Torque E6710,CDMA / EVDO / LTE,CDMA 800 / 1900,Removable Li-Ion 2500 mAh battery,CDMA2000 1xEV-DO,Removable Li-Ion 2500 mAh battery,LTE band 25(1900),Removable Li-Ion 2500 mAh battery,Removable Li-Ion 2500 mAh battery,"LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps","2013, January. Released 2013, March",Discontinued,128.5 x 68.4 x 12.9 mm (5.06 x 2.69 x 0.51 in),168.5 g (5.93 oz),,Non-removable,Removable Li-Ion 2500 mAh battery,IPS LCD capacitive touchscreen. 16M colors,"4.0 inches, 45.5 cm","480 x 800 pixels, 5:3 ratio (~233 ppi density)",- Corning Gorilla Glass 2,Removable Li-Ion 2500 mAh battery,Android 4.0.4 (Ice Cream Sandwich),Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.2 GHz Krait,Adreno 225,"microSD, up to 32 GB (dedicated slot)","4GB (1GB user available), 1GB RAM",,"LED flash, HDR",_,,"LED flash, HDR",_,Yes,Yes,Removable Li-Ion 2500 mAh battery,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS",Yes,No,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 2500 mAh battery,Removable Li-Ion 2500 mAh battery,,Up to 19 h,,Black,,,,About 270 EUR,,,,Yes,,
Kyocera Hydro C5170,CDMA / EVDO,CDMA 800 / 1900,Removable Li-Ion 1500 mAh battery,CDMA2000 1xEV-DO,Removable Li-Ion 1500 mAh battery,,Removable Li-Ion 1500 mAh battery,Removable Li-Ion 1500 mAh battery,EV-DO Rev.A 3.1 Mbps,"2012, May. Released 2012, Q3",Discontinued,115 x 62 x 12.8 mm (4.53 x 2.44 x 0.50 in),120 g (4.23 oz),,Mini-SIM,Removable Li-Ion 1500 mAh battery,IPS LCD capacitive touchscreen,"3.5 inches, 36.5 cm","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Removable Li-Ion 1500 mAh battery,Android 4.0 (Ice Cream Sandwich),Qualcomm MSM8655 Snapdragon S2,1.0 GHz,Adreno 205,"microSD, up to 32 GB (dedicated slot), 2 GB included",2GB 512MB RAM,,,Yes,,,Yes,Yes,Yes,Removable Li-Ion 1500 mAh battery,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP, EDR","Yes, with A-GPS",,No,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1500 mAh battery,Removable Li-Ion 1500 mAh battery,,Up to 8 h 20 min,,Black,,,,,,,,Yes,,
Kyocera Rise C5155,CDMA / EVDO,CDMA 800 / 1900,Removable Li-Ion 1500 mAh battery,CDMA2000 1xEV-DO,Removable Li-Ion 1500 mAh battery,,Removable Li-Ion 1500 mAh battery,Removable Li-Ion 1500 mAh battery,EV-DO Rev.A 3.1 Mbps,"2012, May. Released 2012, August",Discontinued,113 x 60.5 x 14.3 mm (4.45 x 2.38 x 0.56 in),158 g (5.57 oz),,Mini-SIM,Removable Li-Ion 1500 mAh battery,IPS LCD capacitive touchscreen,"3.5 inches, 36.5 cm","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Removable Li-Ion 1500 mAh battery,Android 4.0 (Ice Cream Sandwich),Qualcomm MSM8655 Snapdragon S2,1.0 GHz,Adreno 205,"microSD, up to 32 GB (dedicated slot), 2 GB included",2GB 512MB RAM,,,Yes,,,Yes,Yes,Yes,Removable Li-Ion 1500 mAh battery,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP, EDR","Yes, with A-GPS",,No,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1500 mAh battery,Removable Li-Ion 1500 mAh battery,,Up to 8 h 40 min,,Black,,,,,,,,Yes,,
Kyocera Milano C5121,CDMA / EVDO,CDMA 800 / 1900 / 1700,Removable Li-Ion 1490 mAh battery,CDMA2000 1xEV-DO,Removable Li-Ion 1490 mAh battery,,Removable Li-Ion 1490 mAh battery,Removable Li-Ion 1490 mAh battery,EV-DO Rev.A 3.1 Mbps,"2011, September. Released 2011, September",Discontinued,105 x 61 x 17.1 mm (4.13 x 2.40 x 0.67 in),158 g (5.57 oz),,Mini-SIM,Removable Li-Ion 1490 mAh battery,"TFT capacitive touchscreen, 256K colors","3.0 inches, 27.9 cm","240 x 320 pixels, 4:3 ratio (~133 ppi density)",,Removable Li-Ion 1490 mAh battery,Android 2.3 (Gingerbread),Qualcomm MSM7627T,800 MHz,,"microSD, up to 32 GB (dedicated slot), 2 GB included",512MB 512MB RAM,,,Yes,,,Yes,Yes,Yes,Removable Li-Ion 1490 mAh battery,"Wi-Fi 802.11 b/g/n, hotspot (charges may apply)","2.1, A2DP, EDR","Yes, with A-GPS",,No,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1490 mAh battery,Removable Li-Ion 1490 mAh battery,,Up to 7 h 40 min,,"Pink, Black",,,,,,,,Yes,,
Kyocera Milano C5120,CDMA / EVDO,CDMA 800 / 1900,Removable Li-Ion 1490 mAh battery,CDMA2000 1xEV-DO,Removable Li-Ion 1490 mAh battery,,Removable Li-Ion 1490 mAh battery,Removable Li-Ion 1490 mAh battery,"EV-DO Rev.0, 153.2 Kbps","2011, September. Released 2011, September",Discontinued,105 x 61 x 17.1 mm (4.13 x 2.40 x 0.67 in),158 g (5.57 oz),,Mini-SIM,Removable Li-Ion 1490 mAh battery,"TFT capacitive touchscreen, 256K colors","3.0 inches, 27.9 cm","240 x 320 pixels, 4:3 ratio (~133 ppi density)",,Removable Li-Ion 1490 mAh battery,Android 2.3 (Gingerbread),Qualcomm MSM7627T,800 MHz,,"microSD, up to 32 GB (dedicated slot), 2 GB included",512MB 512MB RAM,,,Yes,,,Yes,Yes,Yes,Removable Li-Ion 1490 mAh battery,"Wi-Fi 802.11 b/g/n, hotspot (charges may apply)","2.1, A2DP, EDR","Yes, with A-GPS",,No,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1490 mAh battery,Removable Li-Ion 1490 mAh battery,,Up to 7 h 40 min,,Black,,,,,,,,Yes,,
